"uri","name"
"http://dbpedia.org/resource/Kevin_Leyton-Brown","Kevin Leyton-Brown"
"http://dbpedia.org/resource/Kristien_Mortelmans","Kristien Mortelmans"
"http://dbpedia.org/resource/Margaret_Martonosi","Margaret Martonosi"
"http://dbpedia.org/resource/Matthew_O._Jackson","Matthew O. Jackson"
"http://dbpedia.org/resource/Sam_Yagan","Sam Yagan"
"http://dbpedia.org/resource/Thomas_Kilduff","Thomas Kilduff"
"http://dbpedia.org/resource/Val_Murray_Runge","Val Murray Runge"
"http://dbpedia.org/resource/William_A._Collins","William A. Collins"
"http://dbpedia.org/resource/William_S._Fisher","William S. Fisher"
"http://dbpedia.org/resource/Mark_Dwight","Mark Dwight"
"http://dbpedia.org/resource/Nancy_M._Amato","Nancy M. Amato"
"http://dbpedia.org/resource/Jason_Nieh","Jason Nieh"
"http://dbpedia.org/resource/Jeffrey_R._Cellars","Jeffrey R. Cellars"
"http://dbpedia.org/resource/John_Milton_Oskison","John Milton Oskison"
"http://dbpedia.org/resource/Kimber_Lockhart","Kimber Lockhart"
"http://dbpedia.org/resource/Patrick_Lincoln","Patrick Lincoln"
"http://dbpedia.org/resource/Simon_Mbilinyi","Simon Mbilinyi"
"http://dbpedia.org/resource/Alan_H._Borning","Alan H. Borning"
"http://dbpedia.org/resource/Albert_Bergesen","Albert Bergesen"
"http://dbpedia.org/resource/Andy_Rachleff","Andy Rachleff"
"http://dbpedia.org/resource/Craig_Edward_DeForest","Craig Edward DeForest"
"http://dbpedia.org/resource/Hamid_R._Moghadam","Hamid R. Moghadam"
"http://dbpedia.org/resource/Joel_Dudley","Joel Dudley"
"http://dbpedia.org/resource/Matthew_Pierce","Matthew Pierce"
"http://dbpedia.org/resource/Michael_G._McCaffery","Michael G. McCaffery"
"http://dbpedia.org/resource/Richard_Hartley_(scientist)","Richard Hartley (scientist)"
"http://dbpedia.org/resource/Samer_Hamadeh","Samer Hamadeh"
"http://dbpedia.org/resource/Sidney_L._Jones","Sidney L. Jones"
"http://dbpedia.org/resource/George_Plafker","George Plafker"
"http://dbpedia.org/resource/Rodney_Koeneke","Rodney Koeneke"
"http://dbpedia.org/resource/Vish_Narain","Vish Narain"
"http://dbpedia.org/resource/A.T._Charlie_Johnson","A.T. Charlie Johnson"
"http://dbpedia.org/resource/Caroline_D._Krass","Caroline D. Krass"
"http://dbpedia.org/resource/Celeste_Baranski","Celeste Baranski"
"http://dbpedia.org/resource/Craig_Gentry_(computer_scientist)","Craig Gentry (computer scientist)"
"http://dbpedia.org/resource/Craig_Silverstein","Craig Silverstein"
"http://dbpedia.org/resource/David_Lobell","David Lobell"
"http://dbpedia.org/resource/Doug_Chin","Doug Chin"
"http://dbpedia.org/resource/Evelina_Zuni_Lucero","Evelina Zuni Lucero"
"http://dbpedia.org/resource/Frøystein_Gjesdal","Frøystein Gjesdal"
"http://dbpedia.org/resource/Garry_Simpson","Garry Simpson"
"http://dbpedia.org/resource/Kyle_Wong","Kyle Wong"
"http://dbpedia.org/resource/Richard_Kauffman","Richard Kauffman"
"http://dbpedia.org/resource/Tom_Linebarger","Tom Linebarger"
"http://dbpedia.org/resource/Elizabeth_Loftus","Elizabeth Loftus"
"http://dbpedia.org/resource/Matthew_Bryza","Matthew Bryza"
"http://dbpedia.org/resource/Astro_Teller","Astro Teller"
"http://dbpedia.org/resource/Carla_Anderson_Hills","Carla Anderson Hills"
"http://dbpedia.org/resource/Christine_L._Borgman","Christine L. Borgman"
"http://dbpedia.org/resource/Mark_Davis_(Unicode)","Mark Davis (Unicode)"
"http://dbpedia.org/resource/Mark_Thompson_(investor)","Mark Thompson (investor)"
"http://dbpedia.org/resource/Ricardo_Maduro","Ricardo Maduro"
"http://dbpedia.org/resource/Robert_Sedgewick_(computer_scientist)","Robert Sedgewick (computer scientist)"
"http://dbpedia.org/resource/Steven_Pollock","Steven Pollock"
"http://dbpedia.org/resource/William_R._Timken","William R. Timken"
"http://dbpedia.org/resource/Bruce_William_Nickerson","Bruce William Nickerson"
"http://dbpedia.org/resource/JB_Straubel","JB Straubel"
"http://dbpedia.org/resource/Mark_Oldman","Mark Oldman"
"http://dbpedia.org/resource/Rajiv_Chandrasekaran","Rajiv Chandrasekaran"
"http://dbpedia.org/resource/Hidehiko_Yuzaki","Hidehiko Yuzaki"
"http://dbpedia.org/resource/Howard_Blum","Howard Blum"
"http://dbpedia.org/resource/Isaac_Chuang","Isaac Chuang"
"http://dbpedia.org/resource/Sheena_Iyengar","Sheena Iyengar"
"http://dbpedia.org/resource/Chiang_C._Mei","Chiang C. Mei"
"http://dbpedia.org/resource/Clark_Gilbert","Clark Gilbert"
"http://dbpedia.org/resource/Enectalí_Figueroa-Feliciano","Enectalí Figueroa-Feliciano"
"http://dbpedia.org/resource/Jeff_Andrus","Jeff Andrus"
"http://dbpedia.org/resource/Keith_G._Allred","Keith G. Allred"
"http://dbpedia.org/resource/Kurt_Triplett","Kurt Triplett"
"http://dbpedia.org/resource/Mehran_Sahami","Mehran Sahami"
"http://dbpedia.org/resource/Neal_Foster","Neal Foster"
"http://dbpedia.org/resource/Richard_C._Miller","Richard C. Miller"
"http://dbpedia.org/resource/Timothy_A._Gonsalves","Timothy A. Gonsalves"
"http://dbpedia.org/resource/Arlen_F._Gregorio","Arlen F. Gregorio"
